IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.59.80,4,4,0.00,23.93,0.00,N/A
162.159.135.155,4,4,0.00,23.99,0.00,N/A
172.64.146.33,4,4,0.00,24.14,0.00,N/A
172.64.81.204,4,4,0.00,24.64,0.00,N/A
172.64.85.86,4,4,0.00,25.02,0.00,N/A
172.65.41.151,4,4,0.00,25.04,0.00,N/A
172.66.43.106,4,4,0.00,25.14,0.00,N/A
172.64.37.202,4,4,0.00,25.26,0.00,N/A
104.21.10.188,4,4,0.00,25.30,0.00,N/A
172.64.34.227,4,4,0.00,25.67,0.00,N/A
172.64.144.163,4,4,0.00,25.96,0.00,N/A
172.65.39.78,4,4,0.00,26.00,0.00,N/A
172.66.44.53,4,4,0.00,26.01,0.00,N/A
172.65.43.225,4,4,0.00,26.03,0.00,N/A
172.64.86.109,4,4,0.00,26.11,0.00,N/A
172.66.46.48,4,4,0.00,26.41,0.00,N/A
104.21.58.107,4,4,0.00,26.52,0.00,N/A
172.67.65.135,4,4,0.00,26.58,0.00,N/A
104.21.56.19,4,4,0.00,26.58,0.00,N/A
172.67.66.252,4,4,0.00,26.65,0.00,N/A
104.21.54.220,4,4,0.00,26.68,0.00,N/A
162.159.136.180,4,4,0.00,26.70,0.00,N/A
104.21.37.173,4,4,0.00,26.83,0.00,N/A
172.64.52.115,4,4,0.00,26.91,0.00,N/A
172.64.87.42,4,4,0.00,27.01,0.00,N/A
172.64.145.59,4,4,0.00,27.11,0.00,N/A
172.64.50.238,4,4,0.00,27.23,0.00,N/A
172.64.89.188,4,4,0.00,27.30,0.00,N/A
172.64.156.235,4,4,0.00,27.41,0.00,N/A
172.64.84.89,4,4,0.00,27.43,0.00,N/A
104.21.61.178,4,4,0.00,27.53,0.00,N/A
172.64.148.107,4,4,0.00,27.56,0.00,N/A
162.159.153.180,4,4,0.00,27.59,0.00,N/A
172.64.83.203,4,4,0.00,27.70,0.00,N/A
104.21.24.76,4,4,0.00,27.73,0.00,N/A
172.64.48.48,4,4,0.00,27.86,0.00,N/A
104.21.57.81,4,4,0.00,27.89,0.00,N/A
172.64.42.66,4,4,0.00,27.93,0.00,N/A
172.64.36.84,4,4,0.00,27.94,0.00,N/A
172.64.91.220,4,4,0.00,27.97,0.00,N/A
172.65.46.125,4,4,0.00,28.01,0.00,N/A
104.21.69.70,4,4,0.00,28.04,0.00,N/A
172.65.49.156,4,4,0.00,28.04,0.00,N/A
172.64.46.220,4,4,0.00,28.05,0.00,N/A
172.65.31.28,4,4,0.00,28.06,0.00,N/A
172.67.73.51,4,4,0.00,28.07,0.00,N/A
172.65.50.84,4,4,0.00,28.08,0.00,N/A
172.65.32.136,4,4,0.00,28.09,0.00,N/A
172.67.72.183,4,4,0.00,28.11,0.00,N/A
104.31.16.176,4,4,0.00,28.13,0.00,N/A
172.65.44.5,4,4,0.00,28.16,0.00,N/A
104.21.17.127,4,4,0.00,28.20,0.00,N/A
172.67.76.54,4,4,0.00,28.26,0.00,N/A
172.67.84.119,4,4,0.00,28.35,0.00,N/A
172.66.45.124,4,4,0.00,28.38,0.00,N/A
172.64.230.167,4,4,0.00,28.54,0.00,N/A
172.67.64.87,4,4,0.00,28.55,0.00,N/A
172.67.82.159,4,4,0.00,28.55,0.00,N/A
172.64.32.217,4,4,0.00,28.71,0.00,N/A
172.64.90.155,4,4,0.00,28.74,0.00,N/A
172.64.88.105,4,4,0.00,28.78,0.00,N/A
172.64.33.100,4,4,0.00,28.89,0.00,N/A
172.64.147.100,4,4,0.00,28.90,0.00,N/A
172.67.110.245,4,4,0.00,28.90,0.00,N/A
172.64.92.33,4,4,0.00,28.91,0.00,N/A
172.66.134.162,4,4,0.00,28.93,0.00,N/A
172.64.79.15,4,4,0.00,28.98,0.00,N/A
172.67.113.254,4,4,0.00,29.02,0.00,N/A
172.65.21.91,4,4,0.00,29.02,0.00,N/A
104.21.49.185,4,4,0.00,29.06,0.00,N/A
172.64.94.107,4,4,0.00,29.10,0.00,N/A
172.65.19.148,4,4,0.00,29.16,0.00,N/A
172.66.47.206,4,4,0.00,29.17,0.00,N/A
172.65.14.47,4,4,0.00,29.19,0.00,N/A
104.21.52.161,4,4,0.00,29.21,0.00,N/A
162.159.140.53,4,4,0.00,29.22,0.00,N/A
172.64.80.207,4,4,0.00,29.22,0.00,N/A
172.64.49.189,4,4,0.00,29.23,0.00,N/A
104.21.14.83,4,4,0.00,29.23,0.00,N/A
104.21.15.0,4,4,0.00,29.25,0.00,N/A
104.21.42.144,4,4,0.00,29.25,0.00,N/A
104.21.83.134,4,4,0.00,29.31,0.00,N/A
172.65.20.88,4,4,0.00,29.33,0.00,N/A
104.21.60.107,4,4,0.00,29.34,0.00,N/A
104.21.30.26,4,4,0.00,29.37,0.00,N/A
162.159.152.185,4,4,0.00,29.38,0.00,N/A
172.67.70.121,4,4,0.00,29.53,0.00,N/A
172.65.103.95,4,4,0.00,29.54,0.00,N/A
172.67.69.56,4,4,0.00,29.54,0.00,N/A
104.21.41.65,4,4,0.00,29.56,0.00,N/A
172.65.36.110,4,4,0.00,29.56,0.00,N/A
172.64.69.105,4,4,0.00,29.57,0.00,N/A
172.65.37.44,4,4,0.00,29.58,0.00,N/A
172.64.38.239,4,4,0.00,29.69,0.00,N/A
172.65.35.16,4,4,0.00,29.75,0.00,N/A
172.65.34.60,4,4,0.00,29.82,0.00,N/A
172.67.71.54,4,4,0.00,29.84,0.00,N/A
172.64.82.194,4,4,0.00,29.85,0.00,N/A
172.65.45.188,4,4,0.00,29.87,0.00,N/A
172.65.25.93,4,4,0.00,29.88,0.00,N/A
172.65.13.17,4,4,0.00,29.89,0.00,N/A
172.65.0.196,4,4,0.00,29.90,0.00,N/A
172.66.129.1,4,4,0.00,29.91,0.00,N/A
172.64.53.46,4,4,0.00,29.91,0.00,N/A
172.65.26.48,4,4,0.00,29.92,0.00,N/A
172.64.97.141,4,4,0.00,29.95,0.00,N/A
172.65.30.21,4,4,0.00,29.96,0.00,N/A
172.65.42.71,4,4,0.00,29.97,0.00,N/A
172.64.98.0,4,4,0.00,29.98,0.00,N/A
172.67.77.32,4,4,0.00,29.98,0.00,N/A
172.67.121.126,4,4,0.00,29.98,0.00,N/A
172.67.75.139,4,4,0.00,29.98,0.00,N/A
172.65.38.48,4,4,0.00,30.00,0.00,N/A
172.64.93.74,4,4,0.00,30.00,0.00,N/A
172.67.120.11,4,4,0.00,30.09,0.00,N/A
172.67.150.60,4,4,0.00,30.13,0.00,N/A
104.24.132.73,4,4,0.00,30.14,0.00,N/A
172.67.111.139,4,4,0.00,30.14,0.00,N/A
172.64.153.184,4,4,0.00,30.29,0.00,N/A
104.21.48.210,4,4,0.00,30.30,0.00,N/A
172.64.159.89,4,4,0.00,30.31,0.00,N/A
172.66.1.41,4,4,0.00,30.37,0.00,N/A
172.67.108.195,4,4,0.00,30.40,0.00,N/A
172.67.68.139,4,4,0.00,30.44,0.00,N/A
172.66.128.25,4,4,0.00,30.46,0.00,N/A
141.101.90.52,4,4,0.00,30.51,0.00,N/A
172.65.88.194,4,4,0.00,30.56,0.00,N/A
104.21.38.40,4,4,0.00,30.56,0.00,N/A
104.21.9.59,4,4,0.00,30.57,0.00,N/A
